serial:  1 cards:  J3J9J 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 3, 1, 9, 1 ] card_count:  { '3': 1, '9': 1 } bid:  552
serial:  288 cards:  T6256 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 6, 2, 5, 6 ] card_count:  { '2': 1, '5': 1, '6': 2, T: 1 } bid:  664
serial:  289 cards:  T63AJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 6, 3, 14, 1 ] card_count:  { '3': 1, '6': 1, A: 1, T: 1 } bid:  741
serial:  290 cards:  T65QQ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 6, 5, 12, 12 ] card_count:  { '5': 1, '6': 1, Q: 2, T: 1 } bid:  275
serial:  291 cards:  T6685 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 6, 6, 8, 5 ] card_count:  { '5': 1, '6': 2, '8': 1, T: 1 } bid:  318
serial:  292 cards:  T6KTQ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 6, 13, 10, 12 ] card_count:  { '6': 1, Q: 1, T: 2, K: 1 } bid:  376
serial:  293 cards:  T76T8 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 7, 6, 10, 8 ] card_count:  { '6': 1, '7': 1, '8': 1, T: 2 } bid:  280
serial:  294 cards:  T7T96 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 7, 10, 9, 6 ] card_count:  { '6': 1, '7': 1, '9': 1, T: 2 } bid:  761
serial:  295 cards:  T8J3A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 8, 1, 3, 14 ] card_count:  { '3': 1, '8': 1, A: 1, T: 1 } bid:  930
serial:  296 cards:  T847J 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 8, 4, 7, 1 ] card_count:  { '4': 1, '7': 1, '8': 1, T: 1 } bid:  134
serial:  297 cards:  T84KT 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 8, 4, 13, 10 ] card_count:  { '4': 1, '8': 1, T: 2, K: 1 } bid:  343
serial:  298 cards:  T8K58 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 8, 13, 5, 8 ] card_count:  { '5': 1, '8': 2, K: 1, T: 1 } bid:  735
serial:  299 cards:  T9926 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 9, 9, 2, 6 ] card_count:  { '2': 1, '6': 1, '9': 2, T: 1 } bid:  29
serial:  300 cards:  TT49A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 10, 4, 9, 14 ] card_count:  { '4': 1, '9': 1, A: 1, T: 2 } bid:  281
serial:  301 cards:  TQJK6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 12, 1, 13, 6 ] card_count:  { '6': 1, K: 1, Q: 1, T: 1 } bid:  250
serial:  302 cards:  TQ24Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 12, 2, 4, 12 ] card_count:  { '2': 1, '4': 1, Q: 2, T: 1 } bid:  846
serial:  303 cards:  TQ6AT 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 12, 6, 14, 10 ] card_count:  { '6': 1, T: 2, A: 1, Q: 1 } bid:  759
serial:  304 cards:  TAAQ2 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 10, 14, 14, 12, 2 ] card_count:  { '2': 1, Q: 1, A: 2, T: 1 } bid:  103
serial:  305 cards:  QJ578 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 1, 5, 7, 8 ] card_count:  { '5': 1, '7': 1, '8': 1, Q: 1 } bid:  935
serial:  306 cards:  Q2TAQ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 2, 10, 14, 12 ] card_count:  { '2': 1, Q: 2, A: 1, T: 1 } bid:  433
serial:  307 cards:  Q34QT 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 3, 4, 12, 10 ] card_count:  { '3': 1, '4': 1, T: 1, Q: 2 } bid:  806
serial:  308 cards:  Q38Q9 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 3, 8, 12, 9 ] card_count:  { '3': 1, '8': 1, '9': 1, Q: 2 } bid:  171
serial:  309 cards:  Q4743 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 4, 7, 4, 3 ] card_count:  { '3': 1, '4': 2, '7': 1, Q: 1 } bid:  851
serial:  310 cards:  Q5QK2 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 5, 12, 13, 2 ] card_count:  { '2': 1, '5': 1, K: 1, Q: 2 } bid:  502
serial:  311 cards:  Q62J9 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 6, 2, 1, 9 ] card_count:  { '2': 1, '6': 1, '9': 1, Q: 1 } bid:  576
serial:  312 cards:  Q78KJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 7, 8, 13, 1 ] card_count:  { '7': 1, '8': 1, K: 1, Q: 1 } bid:  720
serial:  313 cards:  Q82TJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 8, 2, 10, 1 ] card_count:  { '2': 1, '8': 1, T: 1, Q: 1 } bid:  245
serial:  314 cards:  Q8TT5 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 8, 10, 10, 5 ] card_count:  { '5': 1, '8': 1, T: 2, Q: 1 } bid:  240
serial:  315 cards:  Q9928 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 9, 9, 2, 8 ] card_count:  { '2': 1, '8': 1, '9': 2, Q: 1 } bid:  742
serial:  316 cards:  Q9AA6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 9, 14, 14, 6 ] card_count:  { '6': 1, '9': 1, A: 2, Q: 1 } bid:  258
serial:  317 cards:  QT464 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 10, 4, 6, 4 ] card_count:  { '4': 2, '6': 1, T: 1, Q: 1 } bid:  288
serial:  318 cards:  QK663 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 13, 6, 6, 3 ] card_count:  { '3': 1, '6': 2, K: 1, Q: 1 } bid:  91
serial:  319 cards:  QAT5A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 14, 10, 5, 14 ] card_count:  { '5': 1, A: 2, T: 1, Q: 1 } bid:  919
serial:  320 cards:  QAK7K 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 12, 14, 13, 7, 13 ] card_count:  { '7': 1, K: 2, A: 1, Q: 1 } bid:  564
serial:  321 cards:  KJ75Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 1, 7, 5, 12 ] card_count:  { '5': 1, '7': 1, Q: 1, K: 1 } bid:  369
serial:  322 cards:  K2799 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 2, 7, 9, 9 ] card_count:  { '2': 1, '7': 1, '9': 2, K: 1 } bid:  969
serial:  323 cards:  K35J6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 3, 5, 1, 6 ] card_count:  { '3': 1, '5': 1, '6': 1, K: 1 } bid:  592
serial:  324 cards:  K4T5T 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 4, 10, 5, 10 ] card_count:  { '4': 1, '5': 1, T: 2, K: 1 } bid:  724
serial:  325 cards:  K57T7 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 5, 7, 10, 7 ] card_count:  { '5': 1, '7': 2, T: 1, K: 1 } bid:  43
serial:  326 cards:  K6286 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 6, 2, 8, 6 ] card_count:  { '2': 1, '6': 2, '8': 1, K: 1 } bid:  663
serial:  327 cards:  K9J46 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 9, 1, 4, 6 ] card_count:  { '4': 1, '6': 1, '9': 1, K: 1 } bid:  441
serial:  328 cards:  K92AJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 9, 2, 14, 1 ] card_count:  { '2': 1, '9': 1, A: 1, K: 1 } bid:  983
serial:  329 cards:  K93JA 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 9, 3, 1, 14 ] card_count:  { '3': 1, '9': 1, A: 1, K: 1 } bid:  941
serial:  330 cards:  KQJ69 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 12, 1, 6, 9 ] card_count:  { '6': 1, '9': 1, Q: 1, K: 1 } bid:  550
serial:  331 cards:  KQ688 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 12, 6, 8, 8 ] card_count:  { '6': 1, '8': 2, Q: 1, K: 1 } bid:  238
serial:  332 cards:  KQQ83 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 12, 12, 8, 3 ] card_count:  { '3': 1, '8': 1, Q: 2, K: 1 } bid:  547
serial:  333 cards:  KK397 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 13, 3, 9, 7 ] card_count:  { '3': 1, '7': 1, '9': 1, K: 2 } bid:  408
serial:  334 cards:  KK852 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 13, 8, 5, 2 ] card_count:  { '2': 1, '5': 1, '8': 1, K: 2 } bid:  922
serial:  335 cards:  KA4A6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 13, 14, 4, 14, 6 ] card_count:  { '4': 1, '6': 1, A: 2, K: 1 } bid:  828
serial:  336 cards:  AJ546 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 1, 5, 4, 6 ] card_count:  { '4': 1, '5': 1, '6': 1, A: 1 } bid:  2
serial:  337 cards:  A2J74 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 2, 1, 7, 4 ] card_count:  { '2': 1, '4': 1, '7': 1, A: 1 } bid:  154
serial:  338 cards:  A2353 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 2, 3, 5, 3 ] card_count:  { '2': 1, '3': 2, '5': 1, A: 1 } bid:  688
serial:  339 cards:  A3A5Q 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 3, 14, 5, 12 ] card_count:  { '3': 1, '5': 1, Q: 1, A: 2 } bid:  894
serial:  340 cards:  A3AK8 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 3, 14, 13, 8 ] card_count:  { '3': 1, '8': 1, K: 1, A: 2 } bid:  298
serial:  341 cards:  A44T6 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 4, 4, 10, 6 ] card_count:  { '4': 2, '6': 1, T: 1, A: 1 } bid:  81
serial:  342 cards:  A478A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 4, 7, 8, 14 ] card_count:  { '4': 1, '7': 1, '8': 1, A: 2 } bid:  223
serial:  343 cards:  A7838 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 7, 8, 3, 8 ] card_count:  { '3': 1, '7': 1, '8': 2, A: 1 } bid:  925
serial:  344 cards:  A8T55 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 8, 10, 5, 5 ] card_count:  { '5': 2, '8': 1, T: 1, A: 1 } bid:  824
serial:  345 cards:  A8T6T 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 8, 10, 6, 10 ] card_count:  { '6': 1, '8': 1, T: 2, A: 1 } bid:  180
serial:  346 cards:  A9924 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 9, 9, 2, 4 ] card_count:  { '2': 1, '4': 1, '9': 2, A: 1 } bid:  309
serial:  347 cards:  A9Q49 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 9, 12, 4, 9 ] card_count:  { '4': 1, '9': 2, Q: 1, A: 1 } bid:  755
serial:  348 cards:  AT28A 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 10, 2, 8, 14 ] card_count:  { '2': 1, '8': 1, A: 2, T: 1 } bid:  803
serial:  349 cards:  AK3K4 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 13, 3, 13, 4 ] card_count:  { '3': 1, '4': 1, K: 2, A: 1 } bid:  62
serial:  350 cards:  AAJJJ 	type:  pair 	hand_value:  1000 rank_card_on_index:  [ 14, 14, 1, 1, 1 ] card_count:  { A: 2 } bid:  949
serial:  351 cards:  22343 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 2, 3, 4, 3 ] card_count:  { '2': 2, '3': 2, '4': 1 } bid:  749
serial:  352 cards:  22K88 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 2, 13, 8, 8 ] card_count:  { '2': 2, '8': 2, K: 1 } bid:  71
serial:  353 cards:  23773 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 3, 7, 7, 3 ] card_count:  { '2': 1, '3': 2, '7': 2 } bid:  980
serial:  354 cards:  24274 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 4, 2, 7, 4 ] card_count:  { '2': 2, '4': 2, '7': 1 } bid:  494
serial:  355 cards:  266TT 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 6, 6, 10, 10 ] card_count:  { '2': 1, '6': 2, T: 2 } bid:  72
serial:  356 cards:  2T828 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 10, 8, 2, 8 ] card_count:  { '2': 2, '8': 2, T: 1 } bid:  549
serial:  357 cards:  2KK99 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 13, 13, 9, 9 ] card_count:  { '2': 1, '9': 2, K: 2 } bid:  119
serial:  358 cards:  2AA2Q 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 2, 14, 14, 2, 12 ] card_count:  { '2': 2, Q: 1, A: 2 } bid:  446
serial:  359 cards:  338TT 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 3, 8, 10, 10 ] card_count:  { '3': 2, '8': 1, T: 2 } bid:  393
serial:  360 cards:  34394 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 4, 3, 9, 4 ] card_count:  { '3': 2, '4': 2, '9': 1 } bid:  355
serial:  361 cards:  34422 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 4, 4, 2, 2 ] card_count:  { '2': 2, '3': 1, '4': 2 } bid:  790
serial:  362 cards:  34A34 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 4, 14, 3, 4 ] card_count:  { '3': 2, '4': 2, A: 1 } bid:  22
serial:  363 cards:  35344 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 5, 3, 4, 4 ] card_count:  { '3': 2, '4': 2, '5': 1 } bid:  267
serial:  364 cards:  36634 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 6, 6, 3, 4 ] card_count:  { '3': 2, '4': 1, '6': 2 } bid:  44
serial:  365 cards:  37K3K 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 7, 13, 3, 13 ] card_count:  { '3': 2, '7': 1, K: 2 } bid:  413
serial:  366 cards:  399QQ 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 3, 9, 9, 12, 12 ] card_count:  { '3': 1, '9': 2, Q: 2 } bid:  479
serial:  367 cards:  42288 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 2, 2, 8, 8 ] card_count:  { '2': 2, '4': 1, '8': 2 } bid:  731
serial:  368 cards:  42924 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 2, 9, 2, 4 ] card_count:  { '2': 2, '4': 2, '9': 1 } bid:  672
serial:  369 cards:  43634 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 3, 6, 3, 4 ] card_count:  { '3': 2, '4': 2, '6': 1 } bid:  304
serial:  370 cards:  44525 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 4, 5, 2, 5 ] card_count:  { '2': 1, '4': 2, '5': 2 } bid:  906
serial:  371 cards:  447A7 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 4, 7, 14, 7 ] card_count:  { '4': 2, '7': 2, A: 1 } bid:  947
serial:  372 cards:  44Q3Q 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 4, 12, 3, 12 ] card_count:  { '3': 1, '4': 2, Q: 2 } bid:  610
serial:  373 cards:  45242 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 5, 2, 4, 2 ] card_count:  { '2': 2, '4': 2, '5': 1 } bid:  228
serial:  374 cards:  45564 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 5, 5, 6, 4 ] card_count:  { '4': 2, '5': 2, '6': 1 } bid:  725
serial:  375 cards:  48664 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 8, 6, 6, 4 ] card_count:  { '4': 2, '6': 2, '8': 1 } bid:  175
serial:  376 cards:  49489 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 9, 4, 8, 9 ] card_count:  { '4': 2, '8': 1, '9': 2 } bid:  763
serial:  377 cards:  4T94T 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 10, 9, 4, 10 ] card_count:  { '4': 2, '9': 1, T: 2 } bid:  345
serial:  378 cards:  4TA4T 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 10, 14, 4, 10 ] card_count:  { '4': 2, T: 2, A: 1 } bid:  996
serial:  379 cards:  4Q99Q 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 12, 9, 9, 12 ] card_count:  { '4': 1, '9': 2, Q: 2 } bid:  944
serial:  380 cards:  4A422 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 4, 14, 4, 2, 2 ] card_count:  { '2': 2, '4': 2, A: 1 } bid:  560
serial:  381 cards:  52562 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 5, 2, 5, 6, 2 ] card_count:  { '2': 2, '5': 2, '6': 1 } bid:  992
serial:  382 cards:  53566 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 5, 3, 5, 6, 6 ] card_count:  { '3': 1, '5': 2, '6': 2 } bid:  55
serial:  383 cards:  55343 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 5, 5, 3, 4, 3 ] card_count:  { '3': 2, '4': 1, '5': 2 } bid:  653
serial:  384 cards:  55AAQ 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 5, 5, 14, 14, 12 ] card_count:  { '5': 2, Q: 1, A: 2 } bid:  1000
serial:  385 cards:  5885T 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 5, 8, 8, 5, 10 ] card_count:  { '5': 2, '8': 2, T: 1 } bid:  455
serial:  386 cards:  59779 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 5, 9, 7, 7, 9 ] card_count:  { '5': 1, '7': 2, '9': 2 } bid:  437
serial:  387 cards:  5QAQA 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 5, 12, 14, 12, 14 ] card_count:  { '5': 1, A: 2, Q: 2 } bid:  164
serial:  388 cards:  644K6 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 4, 4, 13, 6 ] card_count:  { '4': 2, '6': 2, K: 1 } bid:  518
serial:  389 cards:  64T4T 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 4, 10, 4, 10 ] card_count:  { '4': 2, '6': 1, T: 2 } bid:  534
serial:  390 cards:  66272 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 6, 2, 7, 2 ] card_count:  { '2': 2, '6': 2, '7': 1 } bid:  647
serial:  391 cards:  662QQ 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 6, 2, 12, 12 ] card_count:  { '2': 1, '6': 2, Q: 2 } bid:  181
serial:  392 cards:  66545 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 6, 5, 4, 5 ] card_count:  { '4': 1, '5': 2, '6': 2 } bid:  411
serial:  393 cards:  66T4T 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 6, 10, 4, 10 ] card_count:  { '4': 1, '6': 2, T: 2 } bid:  199
serial:  394 cards:  66AA8 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 6, 14, 14, 8 ] card_count:  { '6': 2, '8': 1, A: 2 } bid:  910
serial:  395 cards:  6A565 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 6, 14, 5, 6, 5 ] card_count:  { '5': 2, '6': 2, A: 1 } bid:  420
serial:  396 cards:  74479 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 4, 4, 7, 9 ] card_count:  { '4': 2, '7': 2, '9': 1 } bid:  589
serial:  397 cards:  747KK 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 4, 7, 13, 13 ] card_count:  { '4': 1, '7': 2, K: 2 } bid:  365
serial:  398 cards:  75725 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 5, 7, 2, 5 ] card_count:  { '2': 1, '5': 2, '7': 2 } bid:  529
serial:  399 cards:  76633 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 6, 6, 3, 3 ] card_count:  { '3': 2, '6': 2, '7': 1 } bid:  13
serial:  400 cards:  77262 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 7, 2, 6, 2 ] card_count:  { '2': 2, '6': 1, '7': 2 } bid:  643
serial:  401 cards:  77288 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 7, 2, 8, 8 ] card_count:  { '2': 1, '7': 2, '8': 2 } bid:  646
serial:  402 cards:  774K4 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 7, 4, 13, 4 ] card_count:  { '4': 2, '7': 2, K: 1 } bid:  92
serial:  403 cards:  77533 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 7, 5, 3, 3 ] card_count:  { '3': 2, '5': 1, '7': 2 } bid:  608
serial:  404 cards:  77929 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 7, 9, 2, 9 ] card_count:  { '2': 1, '7': 2, '9': 2 } bid:  412
serial:  405 cards:  79A9A 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 9, 14, 9, 14 ] card_count:  { '7': 1, '9': 2, A: 2 } bid:  780
serial:  406 cards:  7TK7K 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 10, 13, 7, 13 ] card_count:  { '7': 2, K: 2, T: 1 } bid:  685
serial:  407 cards:  7AA22 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 7, 14, 14, 2, 2 ] card_count:  { '2': 2, '7': 1, A: 2 } bid:  243
serial:  408 cards:  82Q82 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 2, 12, 8, 2 ] card_count:  { '2': 2, '8': 2, Q: 1 } bid:  569
serial:  409 cards:  8338K 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 3, 3, 8, 13 ] card_count:  { '3': 2, '8': 2, K: 1 } bid:  978
serial:  410 cards:  85989 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 5, 9, 8, 9 ] card_count:  { '5': 1, '8': 2, '9': 2 } bid:  836
serial:  411 cards:  86556 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 6, 5, 5, 6 ] card_count:  { '5': 2, '6': 2, '8': 1 } bid:  188
serial:  412 cards:  86585 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 6, 5, 8, 5 ] card_count:  { '5': 2, '6': 1, '8': 2 } bid:  390
serial:  413 cards:  87KK7 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 7, 13, 13, 7 ] card_count:  { '7': 2, '8': 1, K: 2 } bid:  762
serial:  414 cards:  89829 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 9, 8, 2, 9 ] card_count:  { '2': 1, '8': 2, '9': 2 } bid:  130
serial:  415 cards:  8998A 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 9, 9, 8, 14 ] card_count:  { '8': 2, '9': 2, A: 1 } bid:  140
serial:  416 cards:  8K38K 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 8, 13, 3, 8, 13 ] card_count:  { '3': 1, '8': 2, K: 2 } bid:  676
serial:  417 cards:  9229K 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 2, 2, 9, 13 ] card_count:  { '2': 2, '9': 2, K: 1 } bid:  526
serial:  418 cards:  92339 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 2, 3, 3, 9 ] card_count:  { '2': 1, '3': 2, '9': 2 } bid:  4
serial:  419 cards:  92559 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 2, 5, 5, 9 ] card_count:  { '2': 1, '5': 2, '9': 2 } bid:  970
serial:  420 cards:  92QQ9 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 2, 12, 12, 9 ] card_count:  { '2': 1, '9': 2, Q: 2 } bid:  278
serial:  421 cards:  93QQ3 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 3, 12, 12, 3 ] card_count:  { '3': 2, '9': 1, Q: 2 } bid:  69
serial:  422 cards:  94664 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 4, 6, 6, 4 ] card_count:  { '4': 2, '6': 2, '9': 1 } bid:  354
serial:  423 cards:  97947 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 7, 9, 4, 7 ] card_count:  { '4': 1, '7': 2, '9': 2 } bid:  921
serial:  424 cards:  979TT 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 7, 9, 10, 10 ] card_count:  { '7': 1, '9': 2, T: 2 } bid:  932
serial:  425 cards:  97K9K 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 7, 13, 9, 13 ] card_count:  { '7': 1, '9': 2, K: 2 } bid:  615
serial:  426 cards:  9944K 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 9, 4, 4, 13 ] card_count:  { '4': 2, '9': 2, K: 1 } bid:  453
serial:  427 cards:  99A66 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 9, 14, 6, 6 ] card_count:  { '6': 2, '9': 2, A: 1 } bid:  631
serial:  428 cards:  9TTQ9 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 10, 10, 12, 9 ] card_count:  { '9': 2, Q: 1, T: 2 } bid:  163
serial:  429 cards:  9Q393 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 12, 3, 9, 3 ] card_count:  { '3': 2, '9': 2, Q: 1 } bid:  584
serial:  430 cards:  9A9QA 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 14, 9, 12, 14 ] card_count:  { '9': 2, A: 2, Q: 1 } bid:  634
serial:  431 cards:  9AA49 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 9, 14, 14, 4, 9 ] card_count:  { '4': 1, '9': 2, A: 2 } bid:  927
serial:  432 cards:  T433T 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 10, 4, 3, 3, 10 ] card_count:  { '3': 2, '4': 1, T: 2 } bid:  952
serial:  433 cards:  T6T69 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 10, 6, 10, 6, 9 ] card_count:  { '6': 2, '9': 1, T: 2 } bid:  732
serial:  434 cards:  T72T7 	type:  two pairs 	hand_value:  2000 rank_card_on_index:  [ 10, 7, 2, 10, 7 ] card_count:  { '2': 1, '7': 2, T: 2 } bid:  482
